,0,1
0,1,[750. 742. 722. ... 596. 596. 596.]
1,2,[858. 868. 920. ... 604. 604. 604.]
2,3,[802. 818. 862. ... 578. 578. 578.]
3,4,[768. 840. 838. ... 588. 588. 588.]
4,5,[774. 800. 872. ... 594. 594. 594.]
5,6,[698. 840. 872. ... 598. 598. 598.]
6,7,[798. 878. 828. ... 610. 610. 610.]
7,8,[742. 812. 818. ... 606. 606. 606.]
8,9,[818. 810. 740. ... 590. 590. 590.]
9,10,[824. 790. 868. ... 598. 598. 598.]
10,11,[748. 776. 842. ... 618. 618. 618.]
11,12,[884. 774. 848. ... 616. 616. 616.]
12,13,[790. 880. 778. ... 588. 588. 588.]
13,14,[890. 868. 812. ... 620. 620. 620.]
14,15,[782. 780. 834. ... 614. 614. 614.]
15,16,[902. 762. 844. ... 620. 620. 620.]
16,17,[828. 896. 824. ... 634. 634. 634.]
17,18,[784. 862. 792. ... 590. 590. 590.]
18,19,[832. 772. 832. ... 620. 620. 620.]
