;'Lat';'Long';'Prec';'Temp';'Alt'
'Wrocław';51,11;17,0222222222222;548;9,7;130
'Opole';50,6647222222222;17,9269444444444;611;8,4;176
'Katowice';50,2641666666667;19,0236111111111;721;7,9;301
'Kraków';50,0613888888889;19,9383333333333;671;8,7;288
'Rzeszów';50,0336111111111;22,0047222222222;615;7,5;292
'Kielce';50,8741666666667;20,6333333333333;629;7,8;330
'Łódź';51,7766666666667;19,4547222222222;582;8,6;220
'Poznań';52,4083333333333;16,9341666666667;520;8,4;102
'Zielona Góra';51,9397222222222;15,505;600;8,8;143
'Szczecin';53,4380555555556;14,5422222222222;539;8;65
'Gdańsk';54,3475;18,6452777777778;541;6,7;90
'Bydgoszcz';53,125;18,0011111111111;533;8,4;70
'Warszawa';52,2322222222222;21,0083333333333;501;8,2;100
'Białystok';53,1352777777778;23,1455555555556;574;6,8;140
'Lublin';51,2480555555556;22,5702777777778;570;8,4;200
'Olsztyn';53,7730555555556;20,4761111111111;654;7,2;120
